report_date,property,sports_wagering_net_receipts,sports_wagering_handle,sports_wagering_payouts,retail_net_receipts,retail_handle,retail_payouts,internet_net_receipts,internet_handle,internet_payouts,state_tax
2020-03-01,Riverside Casino and Golf Resort,81067.19,1601572.14,1520504.95,3696.39,158414.76,154718.37,77370.8,1443157.38,1365786.58,5482.23
2020-03-01,Wild Rose - Clinton,32970.19,249206.08,216235.89,4792.85,92891.72,88098.87,28177.34,156314.36,128137.02,2225.49
2020-03-01,Wild Rose - Emmetsburg,23986.14,221320.03,197333.89,805.95,19906.69,19100.74,23180.19,201413.34,178233.15,1619.06
2020-03-01,Wild Rose - Jefferson,104313.73,824688.42,720374.69,-628.06,44259.27,44887.33,104941.79,780429.15,675487.36,7041.18
2020-04-01,Ameristar II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,Casino Queen - Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,Catfish Bend Casino,3967.53,71645.31,67677.78,-1312.75,0.0,1312.75,5280.28,71645.31,66365.03,0.0
2020-04-01,Diamond Jo - Dubuque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,Diamond Jo - Worth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,Grand Falls Casino Resort,1126.75,2499.47,1372.72,0.0,0.0,0.0,1126.75,2499.47,1372.72,0.0
2020-04-01,Hard Rock Casino,5809.37,30981.85,25172.48,-154.22,-14.0,140.22,5963.59,30995.85,25032.26,0.0
2020-04-01,Harrah's Council Bluffs Casino & Hotel,-336.82,0.0,336.82,-336.82,0.0,336.82,0.0,0.0,0.0,0.0
2020-04-01,Horseshoe Casino Council Bluffs,-120.0,0.0,120.0,-120.0,0.0,120.0,0.0,0.0,0.0,0.0
2020-04-01,Isle Casino Hotel Waterloo,26787.7,186174.66,159386.96,-20.0,0.0,20.0,26807.7,186174.66,159366.96,1808.17
2020-04-01,Isle of Capri - Bettendorf,8639.2,59395.9,50756.7,-206.8,0.0,206.8,8846.0,59395.9,50549.9,583.15
2020-04-01,Lakeside Casino,-1040.11,121020.79,122060.9,-1920.95,0.0,1920.95,880.84,121020.79,120139.95,0.0
2020-04-01,Prairie Meadows Racetrack & Casino,62174.77,869008.19,806833.42,-1882.5,0.0,1882.5,64057.27,869008.19,804950.92,4196.8
2020-04-01,Q Casino,5803.84,110867.94,105064.1,-294.4,-37.0,257.4,6098.24,110904.94,104806.7,391.76
2020-04-01,Rhythm City Casino,3236.71,7550.9,4314.19,0.0,0.0,0.0,3236.71,7550.9,4314.19,218.48
2020-04-01,Riverside Casino and Golf Resort,13355.6,48685.22,35329.62,-737.45,0.0,737.45,14093.05,48685.22,34592.17,891.31
2020-04-01,Wild Rose - Clinton,3183.68,8545.85,5362.17,242.96,0.0,-242.96,2940.72,8545.85,5605.13,214.9
2020-04-01,Wild Rose - Emmetsburg,6463.88,13727.9,7264.02,155.0,0.0,-155.0,6308.88,13727.9,7419.02,436.31
2020-04-01,Wild Rose - Jefferson,11279.14,38393.11,27113.97,81.05,0.0,-81.05,11198.09,38393.11,27195.02,761.34
2020-05-01,Ameristar II,-1.05,20.0,21.05,-1.05,20.0,21.05,0.0,0.0,0.0,0.0
2020-05-01,Casino Queen - Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,Catfish Bend Casino,19159.83,147893.5,128733.67,0.0,0.0,0.0,19159.83,147893.5,128733.67,0.0
2020-05-01,Diamond Jo - Dubuque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,Diamond Jo - Worth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,Grand Falls Casino Resort,178.25,72802.06,72623.81,0.0,0.0,0.0,178.25,72802.06,72623.81,0.0
2020-05-01,Hard Rock Casino,13745.47,75349.76,61604.29,0.0,0.0,0.0,13745.47,75349.76,61604.29,820.86
2020-05-01,Harrah's Council Bluffs Casino & Hotel,-1648.86,0.0,1648.86,-1648.86,0.0,1648.86,0.0,0.0,0.0,0.0
2020-05-01,Horseshoe Casino Council Bluffs,-3105.57,0.0,3105.57,-3105.57,0.0,3105.57,0.0,0.0,0.0,0.0
2020-05-01,Isle Casino Hotel Waterloo,79518.27,971192.45,891674.18,-297.95,0.0,297.95,79816.22,971192.45,891376.23,5367.48
2020-05-01,Isle of Capri - Bettendorf,26445.78,325612.48,299166.7,-8.85,0.0,8.85,26454.63,325612.48,299157.85,1785.09
2020-05-01,Lakeside Casino,13998.61,341463.01,327464.4,-248.2,0.0,248.2,14246.81,341463.01,327216.2,0.0
2020-05-01,Prairie Meadows Racetrack & Casino,250708.3,2697551.01,2446842.71,-455.5,0.0,455.5,251163.8,2697551.01,2446387.21,16922.81
2020-05-01,Q Casino,-4819.14,510317.19,515136.33,0.0,0.0,0.0,-4819.14,510317.19,515136.33,0.0
2020-05-01,Rhythm City Casino,9738.31,78256.91,68518.6,0.0,0.0,0.0,9738.31,78256.91,68518.6,657.34
2020-05-01,Riverside Casino and Golf Resort,23726.4,747403.2,723676.8,0.0,0.0,0.0,23726.4,747403.2,723676.8,1601.53
2020-05-01,Wild Rose - Clinton,12178.15,105114.73,92936.58,252.39,0.0,-252.39,11925.76,105114.73,93188.97,822.03
